Source;Target;Year
MALINSKI Andre Americano;SIMÕES Júlio Assis ;2019
MARTINELLI Leonardo da Silva;SIMÕES Júlio Assis ;2019
MELO Kelyel Fortes de Resende;SIMÕES Júlio Assis ;2020
MUNIN Pietra Mello;SIMÕES Júlio Assis ;2018
NASCIMENTO Cicera Maria castro do;SIMÕES Júlio Assis ;2021
NOBREGA Isabela Silva;SIMÕES Júlio Assis ;2015
PEREIRA Ronielyssom Cezar Souza;SIMÕES Júlio Assis ;2017
ROCHA Cassio Bruno de Araujo;SIMÕES Júlio Assis ;2021
SILVA Clodoaldo Oliveira;SIMÕES Júlio Assis ;2021
SILVA Fabio Ronaldo da;SIMÕES Júlio Assis ;2010
SILVA Fabio Ronaldo da;SIMÕES Júlio Assis ;2017
SILVA Natanael de Freitas;SIMÕES Júlio Assis ;2017
SILVA Natanael de Freitas;SIMÕES Júlio Assis ;2022
SOBRAL Thasio Fernandes;SIMÕES Júlio Assis ;2019
KUMPERA Julia Aleksandra Martucci;SIMONETTO Patricio ;2021
PINTO Rhanielly Pereira do Nascimento;SIMONETTO Patricio ;2021
LIMA Michele Pires;SIMPSON Keila;2021
MACHADO JR Sergio da Silva;SIMPSON Keila;2016
ARAÚJO JR José Carlos;SINGER June ;2006
FREITAS Talitta Tatiane Martins;SINGER June ;2016
REIS Gabbiana Clamer Fonseca Falavigna dos;SINGER June ;2022
SILVA Natanael de Freitas;SINGER June ;2022
GOMES JR João;SINISGALLI Aldo ;2019
LIMA Rodrigo Ramos;SINISGALLI Aldo ;2016
MARIUSSO Victor Hugo da Silva Gomes;SINISGALLI Aldo ;2015
MARANHAO Du Flor Meinberg;SIQUEIRA Mônica ;2015
VASCONCELOS Osvaldo;SIQUEIRA Mônica ;2022
GAMA Elizabeth Castelano;SIQUEIRA Paulo de;2012
LORENZONI Andre Luis;SIQUEIRA Paulo de;2014
PERALTA Antonio Carlos Lopes;SIQUEIRA Paulo de;2000
JESUS Iara da Silva;SIQUEIRA Sônia ;2019
BISPO Daniana de Oliveira;SIQUEIRA Sônia ;2017
CARDOSO Policleiton Rodrigues;SIQUEIRA Sônia ;2022
GOMES Veronica de Jesus;SIQUEIRA Sônia ;2010
LIMA Wallas Jefferson de;SIQUEIRA Sônia ;2014
LOPES Fernando Jose;SIQUEIRA Sônia ;2019
MERCES Filipe Santos das;SIQUEIRA Sônia ;2018
NAPOLITANO Minisa Nogueira;SIQUEIRA Sônia ;2005
PINTO Matheus Rodrigues;SIQUEIRA Sônia ;2015
SANTOS Helio Secretario dos;SIQUEIRA Sônia ;2013
SILVA Ronaldo Manoel da;SIQUEIRA Sônia ;2018
CORREA Ester Candida;SIQUEIRA Tatiana Lima;2018
NUNES Kauan Amora;SIQUEIRA Tatiana Lima;2019
SILVA Lauri Miranda;SIQUEIRA Tatiana Lima;2015
SILVA Natanael de Freitas;SIQUEIRA Tatiana Lima;2017
CARNEIRO Hugo;SIRINELLI Jean-François ;2021
CARVALHO Mozart Matheus de Andrade;SIRINELLI Jean-François ;2022
FERREIRA Tiago da Silva;SIRINELLI Jean-François ;2013
LIMA Wallas Jefferson de;SIRINELLI Jean-François ;2014
LIMA Wallas Jefferson de;SIRINELLI Jean-François ;2021
MEDEIROS Lucas;SIRINELLI Jean-François ;2022
MONTEIRO Johnnatan David Bia;SIRINELLI Jean-François ;2017
NOBREGA Isabela Silva;SIRINELLI Jean-François ;2015
OLIVEIRA JR Alcidesio de;SIRINELLI Jean-François ;2012
PINTO Rhanielly Pereira do Nascimento;SIRINELLI Jean-François ;2021
RIBAS Jorge Luiz Teixeira;SIRINELLI Jean-François ;2018
SAMPAIO Filipe de Jesus;SIRINELLI Jean-François ;2020
SANTOS Daniel Barbosa dos;SIRINELLI Jean-François ;2009
SANTOS Daniel Barbosa dos;SIRINELLI Jean-François ;2003
BORTOLON Flavia ;SIRKIS Alfredo ;2020
MONTEIRO Johnnatan David Bia;SIRKIS Alfredo ;2017
SOARES Anderson da Silva;SIRKIS Alfredo ;2016
ANDRADE Marciano Vieira;SKIDMORE Thomas ;2015
CARDOSO Max Wesley Santos;SKIDMORE Thomas ;2021
DALLASTA Rodrigo Bonatto;SKIDMORE Thomas ;2021
LIRA Jefferson Maciel;SKIDMORE Thomas ;2022
MARIUSSO Victor Hugo da Silva Gomes;SKIDMORE Thomas ;2015
OLIVEIRA JR Alcidesio de;SKIDMORE Thomas ;2012
SILVA Claudio Roberto da;SKIDMORE Thomas ;1998
VIEIRA Kyara Maria de Almeida;SKIDMORE Thomas ;2014
GODOY Fabricio Sparvoli;SKINNER Marilyn B ;2022
LEITE Letticia Batista Rodrigues;SKINNER Marilyn B ;2009
PINTO Renato;SKINNER Marilyn B ;2011
SOUSA Luana Neres de;SKINNER Marilyn B ;2013
SOUSA Luana Neres de;SKINNER Marilyn B ;2008
ARAÚJO João Diogo Trindade Cordeiro ;SKLIAR Carlos ;2018
MARIUSSO Victor Hugo da Silva Gomes;SKLIAR Carlos ;2015
GOMES JR João;SLENES Robert W ;2019
NASCIMENTO Álvaro Pereira;SLENES Robert W ;2002
NASCIMENTO Cicera Maria castro do;SLENES Robert W ;2021
PERALTA Antonio Carlos Lopes;SLENES Robert W ;2000
PEREIRA Cristiane dos Santos;SLENES Robert W ;2010
BARBOSA Camila Nadedja Teixeira;SMELIK Anneke ;2019
GALLINA Justina Franchi;SMELIK Anneke ;2008
RIBEIRO JR Benedito Inacio;SMITH Bonnie G ;2016
ROCHA Cassio Bruno de Araujo;SMITH Bonnie G ;2014
ROCHA Cassio Bruno de Araujo;SMITH Bonnie G ;2021
SOUSA Luana Neres de;SNODGRASS Mary Ellen;2013
SOUSA Luana Neres de;SNODGRASS Mary Ellen;2008
AMORIM Graziele Regina de;SOARES Alexandre Sebastião Ferrari ;2015
MAIOR JR Paulo Roberto Souto;SOARES Alexandre Sebastião Ferrari ;2019
MARTINELLI Leonardo da Silva;SOARES Alexandre Sebastião Ferrari ;2019
SOUSA NETO Miguel Rodrigues de;SOARES Alexandre Sebastião Ferrari ;2011
AFONSO Ana Paula Jardim Martins;SOARES Carmen Lúcia ;2016
AMORIM Graziele Regina de;SOARES Carmen Lúcia ;2015
BACH Luanna Fernanda da Cruz;SOARES Carmen Lúcia ;2020
BANDEIRA Marcio Leopoldo Gomes;SOARES Carmen Lúcia ;2006
BATISTA Leticia Emilia;SOARES Carmen Lúcia ;2020
GOMES Aline Ferreira;SOARES Carmen Lúcia ;2017
MAIOR JR Paulo Roberto Souto;SOARES Carmen Lúcia ;2015
NOGUEIRA Nadia Cristina;SOARES Carmen Lúcia ;2005
PEREIRA Romulo Medeiros;SOARES Carmen Lúcia ;2013
SILVA Natanael de Freitas;SOARES Carmen Lúcia ;2017
ROCHA Cassio Bruno de Araujo;SOARES Carolline da Silva;2021
TOMAZELLI Roni;SOARES Carolline da Silva;2022
BATISTA Leticia Emilia;SOARES Gilberta ;2020
FERRAZ Maria Cruz;SOARES Gilberta ;2021
KUMPERA Julia Aleksandra Martucci;SOARES Gilberta ;2021
SILVA Jaine Chianca da;SOARES Gilberta ;2021
FERREIRA Tiago da Silva;SOARES Glaucio Ary Dillon ;2013
RODRIGUES Rita de Cassia Colaco;SOARES Glaucio Ary Dillon ;2012
SOARES Anderson da Silva;SOARES Glaucio Ary Dillon ;2016
VIEIRA Adriana Fraga;SOARES Glaucio Ary Dillon ;2020
VIEIRA Kyara Maria de Almeida;SOARES Glaucio Ary Dillon ;2014
VITIELLO Gabriel Natal Botelho;SOARES Glaucio Ary Dillon ;2009
ARAÚJO João Diogo Trindade Cordeiro ;SOARES JR Azemar dos santos;2018
ARRUDA Guilherme Lima de Arruda;SOARES JR Azemar dos santos;2020
HENRIQUES Adolfo Veiller Souza;SOARES JR Azemar dos santos;2021
SILVA Walber Ferreira da;SOARES JR Azemar dos santos;2021
SOUSA Luana Neres de;SOARES Lenin Campos ;2008
SOUSA Luana Neres de;SOARES Lenin Campos ;2013
ARAÚJO JR José Carlos;SOARES Luiz Carlos;2006
DENIPOTI Cláudio ;SOARES Luiz Carlos;1994
GOMES JR João;SOARES Luiz Carlos;2019
NAPOLITANO Minisa Nogueira;SOARES Luiz Carlos;2005
NASCIMENTO Álvaro Pereira;SOARES Luiz Carlos;2002
SILVA Claudielle Pavão da;SOARES Luiz Carlos;2016
AGUIAR JR Fernando Domingos de;SOARES Marcelo ;2016
SOUZA Italo Cristiano Silva e;SOARES Marcelo ;2014
AMORIM Graziele Regina de;SOARES Rosana de Lima;2009
BARATA Germana Fernandes;SOARES Rosana de Lima;2006
CARDOSO Guilherme da Silva;SOARES Rosana de Lima;2022
SOUZA Italo Cristiano Silva e;SOARES Rosana de Lima;2014
DALLASTA Rodrigo Bonatto;SODRE Caroline Almeida ;2021
SILVA Aline Nawara Cintra;SODRE Caroline Almeida ;2022
CARNEIRO Hugo;SODRÉ Muniz ;2021
GAMA Elizabeth Castelano;SODRÉ Muniz ;2012
MARTINS Carla Cristina Siqueira;SODRÉ Muniz ;2020
MEDEIROS Lucas;SODRÉ Muniz ;2022
PERALTA Antonio Carlos Lopes;SODRÉ Muniz ;2000
PEREIRA Cristiane dos Santos;SODRÉ Muniz ;2010
PEREIRA Joao Lenon Siqueira;SODRÉ Muniz ;2020
SILVEIRA Guilherme Pontes;SODRÉ Muniz ;2021
AGUIAR Juno Nedel Mendes de;SODRÉ Nelson Werneck;2020
GONÇALVES Maria Angela Gomes;SODRÉ Nelson Werneck;2021
LEAL Camilla;SODRÉ Nelson Werneck;2018
MARIUSSO Victor Hugo da Silva Gomes;SODRÉ Nelson Werneck;2015
NASCIMENTO Álvaro Pereira;SODRÉ Nelson Werneck;2002
NASCIMENTO Anne Raquel da Silva;SODRÉ Nelson Werneck;2022
NOBREGA Isabela Silva;SODRÉ Nelson Werneck;2015
REIS Gabbiana Clamer Fonseca Falavigna dos;SODRÉ Nelson Werneck;2022
SILVA Naylla Oliveira da;SODRÉ Nelson Werneck;2019
SOUSA NETO Miguel Rodrigues de;SODRÉ Nelson Werneck;2005
ANDRADE Marciano Vieira;SOHN Anne-Marie ;2015
SOARES Bruno Cesar Brulon;SOHN Anne-Marie ;2019
VIEIRA Adriana Fraga;SOHN Anne-Marie ;2020
AFONSO Ana Paula Jardim Martins;SOIHET Rachel;2016
ANDRADE Marciano Vieira;SOIHET Rachel;2015
AZEVEDO Gleice LInhares de;SOIHET Rachel;2022
BARBOSA Camila Nadedja Teixeira;SOIHET Rachel;2019
BATISTA Leticia Emilia;SOIHET Rachel;2020
BRANDÃO Renata Rodrigues ;SOIHET Rachel;2015
BRITO Alexandre Magno Maciel Costa e;SOIHET Rachel;2016
CARVALHO Marilia Miranda Alves;SOIHET Rachel;2020
CASTRO Alana Albuquerque de;SOIHET Rachel;2022
DAVI Edmar Henrique D ;SOIHET Rachel;2004
FERRAZ Maria Cruz;SOIHET Rachel;2021
FERREIRA Tiago da Silva;SOIHET Rachel;2013
GALLINA Justina Franchi;SOIHET Rachel;2008
GOMES JR João;SOIHET Rachel;2019
GOMES Veronica de Jesus;SOIHET Rachel;2019
GONCALVES Jose Claudio Leoncio;SOIHET Rachel;2018
KIBUUKA Brian Gordon Lutalo;SOIHET Rachel;2021
KUMPERA Julia Aleksandra Martucci;SOIHET Rachel;2021
LIMA Wallas Jefferson de;SOIHET Rachel;2021
MACHADO José Wellington de Oliveira Machado;SOIHET Rachel;2021
MAIA Renata Santos;SOIHET Rachel;2020
MARIUSSO Victor Hugo da Silva Gomes;SOIHET Rachel;2015
MARTINELLI Leonardo da Silva;SOIHET Rachel;2019
MEDEIROS Talita Goncalves;SOIHET Rachel;2015
MONTEIRO Johnnatan David Bia;SOIHET Rachel;2017
NAPOLITANO Minisa Nogueira;SOIHET Rachel;2005
NASCIMENTO Álvaro Pereira;SOIHET Rachel;2002
NASCIMENTO Cicera Maria castro do;SOIHET Rachel;2021
NOBREGA Isabela Silva;SOIHET Rachel;2015
NOGUEIRA Joanna Ribeiro;SOIHET Rachel;2016
NOGUEIRA Nadia Cristina;SOIHET Rachel;2005
PEREIRA Veronica Figueiredo;SOIHET Rachel;2022
PINTO Rhanielly Pereira do Nascimento;SOIHET Rachel;2021
RAMOS Jeferson;SOIHET Rachel;2019
REIS Gabbiana Clamer Fonseca Falavigna dos;SOIHET Rachel;2022
RIBEIRO JR Benedito Inacio;SOIHET Rachel;2016
ROCHA Cassio Bruno de Araujo;SOIHET Rachel;2014
ROCHA Cassio Bruno de Araujo;SOIHET Rachel;2021
RODRIGUES Rita de Cassia Colaco;SOIHET Rachel;2012
SANTOS Patricia Lessa dos;SOIHET Rachel;2007
SILVA Aline Nawara Cintra;SOIHET Rachel;2022
SILVA Claudielle Pavão da;SOIHET Rachel;2016
SILVA Daniel Henrique de Oliveira;SOIHET Rachel;2016
SILVA Filipe Noe da;SOIHET Rachel;2016
SILVA Jaine Chianca da;SOIHET Rachel;2021
SILVA Lauri Miranda;SOIHET Rachel;2015
SILVA Natanael de Freitas;SOIHET Rachel;2017
SILVA Natanael de Freitas;SOIHET Rachel;2022
SOARES Bruno Cesar Brulon;SOIHET Rachel;2019
SOUSA NETO Miguel Rodrigues de;SOIHET Rachel;2011
SOUZA Mariana Barbosa;SOIHET Rachel;2022
SOUZA Paulo Vitor Guedes de;SOIHET Rachel;2022
TOLEDO Eliza Teixeira de;SOIHET Rachel;2015
VERAS Elias Ferreira;SOIHET Rachel;2015
VIANA JR Mario Martins;SOIHET Rachel;2013
VIEIRA Adriana Fraga;SOIHET Rachel;2020
VIEIRA Kyara Maria de Almeida;SOIHET Rachel;2014
SANTOS Paulo Henrique Souza dos;SOLANO Nelson ;2022
SILVA Sandro Coutinho da;SOLANO Nelson ;2022
CARVALHO Mozart Matheus de Andrade;SOLIVA Thiago Barcelos ;2022
MAIOR JR Paulo Roberto Souto;SOLIVA Thiago Barcelos ;2019
REIS Gabbiana Clamer Fonseca Falavigna dos;SOLIVA Thiago Barcelos ;2022
SOUZA Paulo Vitor Guedes de;SOLIVA Thiago Barcelos ;2022
ASSUMPCAO Andreia dos S B M de;SOMMER Luis Henrique;2012
MARTINS Carla Cristina Siqueira;SOMMER Luis Henrique;2020
SILVA Rafaella de Sousa;SOMMER Luis Henrique;2014
KIBUUKA Brian Gordon Lutalo;SOMMERSTEIN Alan H;2021
SOUSA Luana Neres de;SOMMERSTEIN Alan H;2013
AGUIAR JR Fernando Domingos de;SONTAG Susan;2016
ALVES Edhilson Dantas;SONTAG Susan;2021
AMORIM Graziele Regina de;SONTAG Susan;2009
AZEVEDO Gleice LInhares de;SONTAG Susan;2022
BARATA Germana Fernandes;SONTAG Susan;2006
BARROS Bruna Aparecida;SONTAG Susan;2017
CARDOSO Guilherme da Silva;SONTAG Susan;2022
DALLASTA Rodrigo Bonatto;SONTAG Susan;2021
DIAS Claudio Jose Piotrovski;SONTAG Susan;2012
GOMES Aline Ferreira;SONTAG Susan;2017
GONCALVES Mateus Henrique Siqueira;SONTAG Susan;2022
HENRIQUES Adolfo Veiller Souza;SONTAG Susan;2021
LIMA Ana Claudia Teixeira de;SONTAG Susan;2019
MAIOR JR Paulo Roberto Souto;SONTAG Susan;2019
MALINSKI Andre Americano;SONTAG Susan;2019
NASCIMENTO Dilene Raimundo;SONTAG Susan;1999
PETERS Carlos Eduardo Marotta;SONTAG Susan;2010
PIACSEK Eduardo Guilherme;SONTAG Susan;2014
QUEIROZ Igor Henrique Lopes de;SONTAG Susan;2014
RAMOS Lissandra Queiroga;SONTAG Susan;2016
REIS Gabbiana Clamer Fonseca Falavigna dos;SONTAG Susan;2022
ROCHA Cassio Bruno de Araujo;SONTAG Susan;2021
SANTOS Patricia Lessa dos;SONTAG Susan;2007
SANTOS Raian Souza;SONTAG Susan;2020
SILVA Fabio Ronaldo da;SONTAG Susan;2017
SILVA Gustavo Henrique Ramos;SONTAG Susan;2018
SILVA Natanael de Freitas;SONTAG Susan;2022
SILVA Walber Ferreira da;SONTAG Susan;2021
SILVEIRA NETO Adilio Luiz da;SONTAG Susan;2014
SOUZA Italo Cristiano Silva e;SONTAG Susan;2014
VERAS Elias Ferreira;SONTAG Susan;2015
VIANNA Eliza da Silva;SONTAG Susan;2014
VITIELLO Gabriel Natal Botelho;SONTAG Susan;2009
ZAQUIEU Ana Paula Vianna;SONTAG Susan;2002
SOUSA Luana Neres de;SORGENTINI Hernán;2013
SOUSA Luana Neres de;SORGENTINI Hernán;2008
ASSUMPCAO Andreia dos S B M de;SORJ Bila;2012
BRANDÃO Renata Rodrigues ;SORJ Bila;2015
NOGUEIRA Nadia Cristina;SORJ Bila;2005
TOLEDO Eliza Teixeira de;SORJ Bila;2015
BORTOLON Flavia ;SOULAGES François ;2020
MALINSKI Andre Americano;SOULAGES François ;2019
AMORIM Graziele Regina de;SOURNIA Jean-Charles ;2009
OLIVEIRA JR Alcidesio de;SOURNIA Jean-Charles ;2012
SOUZA Italo Cristiano Silva e;SOURNIA Jean-Charles ;2014
GOMES Veronica de Jesus;SOUSA Bernardo Vasconcelos;2019
LIMA Wallas Jefferson de;SOUSA Bernardo Vasconcelos;2021
LIMA Wallas Jefferson de;SOUSA Bernardo Vasconcelos;2014
VIANA JR Mario Martins;SOUSA Bernardo Vasconcelos;2013
MEDEIROS Lucas;SOUSA Fábio Gutemberg Ramos Bezerra ;2022
PEREIRA Veronica Figueiredo;SOUSA Fábio Gutemberg Ramos Bezerra ;2022
GOMES Fabio da Silva;SOUSA Gabriel Soares de;2018
LIMA Wallas Jefferson de;SOUSA Gabriel Soares de;2014
LOPES Fernando Jose;SOUSA Gabriel Soares de;2019
KIBUUKA Brian Gordon Lutalo;SOUSA Luana Neres ;2021
SILVA Naylla Oliveira da;SOUSA Luana Neres ;2019
SILVA Tiago Vidal da;SOUSA Luana Neres ;2022
CARVALHO Marilia Miranda Alves;SOUSA NETO Miguel Rodrigues de;2020
GONCALVES Alisson;SOUSA NETO Miguel Rodrigues de;2022
MAIOR JR Paulo Roberto Souto;SOUSA NETO Miguel Rodrigues de;2015
MAIOR JR Paulo Roberto Souto;SOUSA NETO Miguel Rodrigues de;2019
MARIUSSO Victor Hugo da Silva Gomes;SOUSA NETO Miguel Rodrigues de;2015
NASCIMENTO Anne Raquel da Silva;SOUSA NETO Miguel Rodrigues de;2022
NICOLAU Marcio Almeida;SOUSA NETO Miguel Rodrigues de;2019
RAMOS Jeferson;SOUSA NETO Miguel Rodrigues de;2019
ROCHA Cassio Bruno de Araujo;SOUSA NETO Miguel Rodrigues de;2021
SANTOS Rafael Franca Goncalves dos;SOUSA NETO Miguel Rodrigues de;2018
SILVA Daniel Henrique de Oliveira;SOUSA NETO Miguel Rodrigues de;2016
SILVA Natanael de Freitas;SOUSA NETO Miguel Rodrigues de;2022
SOARES Bruno Cesar Brulon;SOUSA NETO Miguel Rodrigues de;2019
SOUZA Mariana Barbosa;SOUSA NETO Miguel Rodrigues de;2022
SOUZA Paulo Vitor Guedes de;SOUSA NETO Miguel Rodrigues de;2022
VASCONCELOS Osvaldo;SOUSA NETO Miguel Rodrigues de;2022
MEDEIROS Lucas;SOUZA André Ricardo;2022
MOTA Frederico Alves;SOUZA André Ricardo;2013
PETERS Carlos Eduardo Marotta;SOUZA André Ricardo;2010
SOLEDADE Alisson Cruz;SOUZA André Ricardo;2022
MARIUSSO Victor Hugo da Silva Gomes;SOUZA Cecília de Mello;2015
SILVA Sandro Coutinho da;SOUZA Cecília de Mello;2022
ALVES Edhilson Dantas;SOUZA Eloísio Moulin;2021
GOMES Mauricio Pereira;SOUZA Eloísio Moulin;2014
SOUSA NETO Miguel Rodrigues de;SOUZA Eloísio Moulin;2011
MAIA Renata Santos;SOUZA Emilly Mel Fernandes de;2020
SILVA Natanael de Freitas;SOUZA Emilly Mel Fernandes de;2022
VIEIRA Adriana Fraga;SOUZA Emilly Mel Fernandes de;2020
ROCHA Cassio Bruno de Araujo;SOUZA Eneida Maria;2014
ROCHA Cassio Bruno de Araujo;SOUZA Eneida Maria;2021
MEDEIROS Lucas;SOUZA Érica R ;2022
NOGUEIRA Nadia Cristina;SOUZA Érica R ;2005
SANTOS Fernanda Cassia dos;SOUZA Érica R ;2012
SILVA Jaine Chianca da;SOUZA Érica R ;2021
SOUSA NETO Miguel Rodrigues de;SOUZA Érica R ;2011
FERREIRA Tiago da Silva;SOUZA FILHO Alípio de;2013
LIMA Ana Claudia Teixeira de;SOUZA FILHO Alípio de;2019
NOGUEIRA Joanna Ribeiro;SOUZA FILHO Alípio de;2016
PEREIRA Romulo Medeiros;SOUZA FILHO Alípio de;2013
ROCHA Cassio Bruno de Araujo;SOUZA FILHO Alípio de;2014
ROCHA Cassio Bruno de Araujo;SOUZA FILHO Alípio de;2021
TOLEDO Eliza Teixeira de;SOUZA FILHO Alípio de;2015
VIANNA Eliza da Silva;SOUZA FILHO Alípio de;2014
ROCHA Cassio Bruno de Araujo;SOUZA Florentina ;2014
ROCHA Cassio Bruno de Araujo;SOUZA Florentina ;2021
BISPO Daniana de Oliveira;SOUZA Grayce Mayre Bonfim;2017
CARDOSO Policleiton Rodrigues;SOUZA Grayce Mayre Bonfim;2022
LIMA Wallas Jefferson de;SOUZA Grayce Mayre Bonfim;2021
JESUS Iara da Silva;SOUZA Grayce Mayre Bonfim;2019
NASCIMENTO Dilene Raimundo;SOUZA Herbert de;1999
ZAQUIEU Ana Paula Vianna;SOUZA Herbert de;2002
CANABARRO Ronald;SOUZA Inara Bezerra Ferreira ;2015
REIS Gabbiana Clamer Fonseca Falavigna dos;SOUZA Inara Bezerra Ferreira ;2022
RODRIGUES Rita de Cassia Colaco;SOUZA Jessé ;2012
SILVA Natanael de Freitas;SOUZA Jessé ;2022
CARDOSO Policleiton Rodrigues;SOUZA JR José Alves de;2022
VASCONCELOS Osvaldo;SOUZA JR José Alves de;2022
BISPO Daniana de Oliveira;SOUZA Laura de Mello e ;2017
GOMES Veronica de Jesus;SOUZA Laura de Mello e ;2010
GOMES Veronica de Jesus;SOUZA Laura de Mello e ;2019
LIMA Wallas Jefferson de;SOUZA Laura de Mello e ;2014
LOPES Fernando Jose;SOUZA Laura de Mello e ;2019
NAPOLITANO Minisa Nogueira;SOUZA Laura de Mello e ;2005
NASCIMENTO Álvaro Pereira;SOUZA Laura de Mello e ;2002
NASCIMENTO Cicera Maria castro do;SOUZA Laura de Mello e ;2021
PETERS Carlos Eduardo Marotta;SOUZA Laura de Mello e ;2010
PINTO Matheus Rodrigues;SOUZA Laura de Mello e ;2015
ROCHA Cassio Bruno de Araujo;SOUZA Laura de Mello e ;2014
ROCHA Cassio Bruno de Araujo;SOUZA Laura de Mello e ;2021
VIANA JR Mario Martins;SOUZA Laura de Mello e ;2013
ARAÚJO João Diogo Trindade Cordeiro ;SOUZA Leonardo Lemos;2018
BRITO Paulo Henrique de;SOUZA Leonardo Lemos;2020
SANTOS Leonardo Stabele;SOUZA Leonardo Lemos;2022
AFONSO Ana Paula Jardim Martins;SOUZA Luiz Antonio Francisco;2016
MEDEIROS Lucas;SOUZA Luiz Antonio Francisco;2022
PEREIRA Romulo Medeiros;SOUZA Luiz Antonio Francisco;2013
SILVA Walber Ferreira da;SOUZA Luiz Antonio Francisco;2021
VIANNA Eliza da Silva;SOUZA Luiz Antonio Francisco;2014
SILVA Natanael de Freitas;SOUZA Márcio Ferreira;2017
SILVA Natanael de Freitas;SOUZA Márcio Ferreira;2022
COSTA Gerferson Damasceno;SOUZA Marcos Alves;2018
SILVA Fabio Ronaldo da;SOUZA Marcos Alves;2010
MELO Kelyel Fortes de Resende;SOUZA NETO Epitacio Nunes de;2020
SILVA Sandro Jose da;SOUZA NETO Epitacio Nunes de;2011
CANABARRO Ronald;SOUZA Patrícia;2015
MEDEIROS Lucas;SOUZA Patrícia;2022
ANDRADE Marciano Vieira;SOUZA Pedro de;2015
ASSIS Eduardo Moreira;SOUZA Pedro de;2011
BANDEIRA Marcio Leopoldo Gomes;SOUZA Pedro de;2006
GOMES Elisa Mariana de Medeiros Nobrega;SOUZA Pedro de;2007
MAIOR JR Paulo Roberto Souto;SOUZA Pedro de;2015
MAIOR JR Paulo Roberto Souto;SOUZA Pedro de;2019
MEDEIROS Lucas;SOUZA Pedro de;2022
QUEIROZ Igor Henrique Lopes de;SOUZA Pedro de;2014
ROCHA Cassio Bruno de Araujo;SOUZA Pedro de;2021
SILVA Claudio Roberto da;SOUZA Pedro de;1998
SILVA Natanael de Freitas;SOUZA Pedro de;2022
SOUSA NETO Miguel Rodrigues de;SOUZA Pedro de;2011
BACH Luanna Fernanda da Cruz;SOUZA Sandra Duarte;2020
MARANHAO Du Flor Meinberg;SOUZA Sandra Duarte;2015
SAMPAIO Filipe de Jesus;SOUZA Sandra Duarte;2020
DUARTE Daniel Vital Silva;SOUZA Vanderlei Sebastião;2015
LIMA Rodrigo Ramos;SOUZA Vanderlei Sebastião;2016
ROCHA Cassio Bruno de Araujo;SOUZA Wlaumir Doniseti;2021
VASCONCELOS Osvaldo;SOUZA Wlaumir Doniseti;2022
JESUS Iara da Silva;SOUZA Wlaumir Doniseti;2019
AGUIAR Juno Nedel Mendes de;SOVIK Liv ;2020
BACH Luanna Fernanda da Cruz;SOVIK Liv ;2020
BARBOSA Camila Nadedja Teixeira;SOVIK Liv ;2019
DONINI Barbara Brognoli;SOVIK Liv ;2021
MARTINS Carla Cristina Siqueira;SOVIK Liv ;2020
OLIVEIRA Rosana Medeiros de;SOVIK Liv ;2011
PEREIRA Cristiane dos Santos;SOVIK Liv ;2010
AGUIAR Juno Nedel Mendes de;SPARGO Tamsin;2020
ARAÚJO João Diogo Trindade Cordeiro ;SPARGO Tamsin;2018
AZEVEDO Ciro Linhares de;SPARGO Tamsin;2015
BELMONTE Pilar Rodriguez;SPARGO Tamsin;2009
CASTRO Alana Albuquerque de;SPARGO Tamsin;2022
GOMES Mauricio Pereira;SPARGO Tamsin;2014
JESUS Cassiano Celestino;SPARGO Tamsin;2020
KIBUUKA Brian Gordon Lutalo;SPARGO Tamsin;2021
LINS Rivelynno da Costa;SPARGO Tamsin;2017
LOPES Fernando Jose;SPARGO Tamsin;2019
PAIVA Ludmila Soares;SPARGO Tamsin;2022
RIBEIRO JR Benedito Inacio;SPARGO Tamsin;2016
ROCHA Cassio Bruno de Araujo;SPARGO Tamsin;2014
ROCHA Cassio Bruno de Araujo;SPARGO Tamsin;2021
SILVA Camila Diane;SPARGO Tamsin;2015
SILVA Tiago Vidal da;SPARGO Tamsin;2022
SILVA Walber Ferreira da;SPARGO Tamsin;2021
SOUZA Mariana Barbosa;SPARGO Tamsin;2022
AMARAL Darwin Santiago;SPENCER Colin ;2003
ASSIS Eduardo Moreira;SPENCER Colin ;2011
GOMES Elisa Mariana de Medeiros Nobrega;SPENCER Colin ;2007
GOMES Fabio da Silva;SPENCER Colin ;2018
MAIOR JR Paulo Roberto Souto;SPENCER Colin ;2015
MARIUSSO Victor Hugo da Silva Gomes;SPENCER Colin ;2015
MORAES Diogo Marialva;SPENCER Colin ;2018
NOGUEIRA Nadia Cristina;SPENCER Colin ;2005
PINTO Matheus Rodrigues;SPENCER Colin ;2015
ROCHA Cassio Bruno de Araujo;SPENCER Colin ;2021
RODRIGUES Rita de Cassia Colaco;SPENCER Colin ;2012
SANTOS Daniel Barbosa dos;SPENCER Colin ;2009
SILVA Claudio Roberto da;SPENCER Colin ;1998
SILVA Clodoaldo Oliveira;SPENCER Colin ;2021
SILVA Tiago Vidal da;SPENCER Colin ;2022
SOUSA Luana Neres de;SPENCER Colin ;2013
SOUSA Luana Neres de;SPENCER Colin ;2008
AFONSO Ana Paula Jardim Martins;SPINK Mary Jane;2016
AMORIM Graziele Regina de;SPINK Mary Jane;2015
BARATA Germana Fernandes;SPINK Mary Jane;2006
