Id,indegree,outdegree
ARAÚJO Martinho Tota Filho Rocha,1,0
ARAUJO Paulo Cesar,2,0
ARAÚJO Rosa Maria Barbosa de,1,0
ARBEX Daniela,1,0
ARBEX JR José,0,0
CARNEIRO Hugo,0,0
ARENAS Reinaldo,1,0
MENDES Bruna Alves Carvalho,0,0
AREND Silvia Maria Fávero,1,0
PEREIRA Ronielyssom Cezar Souza,0,40
ARENDT Hannah,9,0
LEITE Isadora Damasceno Ribeiro,0,17
ARENZ Karl Heinz,0,0
ARFUCH Leonor,2,0
ARIAS NETO José Miguel,0,0
ARIÈS Philippe,15,0
BANDEIRA Marcio Leopoldo Gomes,4,0
DENIPOTI Cláudio,1,0
GUIMARAES Celeste Azenha,0,0
MUNIN Pietra Mello,0,26
OLIVEIRA Estevao Silva de,0,0
REIS Rachel Correia Lima,0,0
SILVA Clodoaldo Oliveira,0,0
ARILHA Margareth,0,0
ARISTÓFANES,0,0
ARISTOPHANE,0,0
ARISTÓTELES,1,0
KIBUUKA Brian Gordon Lutalo,0,0
ARISTOTLE,0,0
BACH Luanna Fernanda da Cruz,0,0
ARMSTRONG Karen,0,0
ARMUS Diego,3,0
RAMOS Lissandra Queiroga,0,45
ARNEY Lance,4,0
ARÓSTEGUI Julio,0,0
DEPIERI Caroline Stefany,0,0
ARRUDA Ângela,0,0
ARTAUD Antonin,0,0
ARTIÉRES Philippe,3,0
ASSIS Angelo Adriano Faria de,1,0
ASSIS Gláucia de Oliveira,1,0
ASSMANN Hugo,0,0
ASSMANN Selvino José,1,0
ASSUMPÇÃO JR Francisco B,0,0
ASSUMPÇÃO Leilah Landin,0,0
ASSUNÇÃO Aroldo,1,0
ASSUNÇÃO Paulo de,1,0
MERCES Filipe Santos das,0,38
ATWOOD Margareth,0,0
AUAD Daniela,0,0
AUAD Sylvia Maria,0,0
AUERBACH Erich,0,0
AUGÉ Marc,1,0
AUGRAS Monique,0,0
AUGUSTO Sérgio,0,0
AUMONT Jacques,1,0
AUSTIN John Langshaw,1,0
AVELAR Alexandre,0,0
GONCALVES Mateus Henrique Siqueira,0,0
AVELAR Suzana,0,0
ÀVILA Arthur Lima de,0,0
ÁVILA Eliana,0,0
ÁVILA Simone,3,0
AYMARD Maurice,2,0
AZEVEDO Aluísio,1,0
AZEVEDO Carlos Moreira,0,0
AZEVEDO Cecília,2,0
AZEVEDO João L㺣io de,1,0
AZEVEDO Kátia Teonia,1,0
LIMA Ana Claudia Teixeira de,0,0
AZEVEDO MARIN R E,1,0
AZEVEDO Sânzio,0,0
AZOULAY Vincent,1,0
AZZI Riolando,1,0
BACCHETTA Paola,0,0
BACELLAR Carlos,2,0
COSTA NETO Olavio Bento,0,0
BACHELARD Gaston,1,0
BACZKO Bronislaw,5,0
BADINTER Elisabeth,7,0
BAECQUE Antoine,2,0
BAGAGLI Beatriz,0,0
BAHIA Juarez,0,0
BAHIANA Ana Maria,1,0
BAKHTIN Mikhail,2,0
BALANDIER Georges,1,0
BALIEIRO Fernando,2,0
BALLESTRIN Luciana,0,0
BALTAR Mariana,0,0
CARDOSO Max Wesley Santos,0,0
BARALE Michèle Aina,1,0
PIACSEK Eduardo Guilherme,0,0
BARATTA Alessandro,0,0
BARBALHO Alexandre,0,0
BARBERO Graciela Haydée,1,0
BARBERO Jesús Martin,0,0
BARBIN Herculine,0,0
BARBO Daniel,2,0
BARBOSA Ana Mae,0,0
BARBOSA Bruno César,2,0
BARBOSA Daguimar,1,0
BARBOSA David Sampaio,0,0
BARBOSA Luanna,2,0
BARBOSA Marialva,1,0
BARBOSA Nelson Luís,0,0
BARBOSA R M,0,0
BARBOSA Regina Helena Simões,2,0
BARBOSA Regina Maria,2,0
SILVA Claudio Roberto da,7,0
SILVA Lauri Miranda,0,48
BARCA Isabel,1,0
BARDIN Laurence,2,0
TOMAZELLI Roni,0,0
BARNART Fabiano,0,0
BARRET-DUCROCQ François,1,0
BARRETO Andreia,0,0
BARRETO Victor Hugo de Souza,0,0
BARROS Gilda Naécia Maciel,0,0
BARROS Henrique Lins,0,0
BARROS José D' Assunção,8,0
BARROS JR Francisco,1,0
BARROS Patrícia Marcondes,0,0
BARROSO Fernando Luiz,0,0
BARTH Frederik,0,0
BARTHES Roland,6,0
PINTO Renato,2,0
BASCHET Jérôme,0,0
BASHFORD Alisson,2,0
BASTIDE Roger,0,0
BASTOS Cristiana,0,0
BASTOS Francisco Inácio,2,0
BASTOS Liliana Cabral,0,0
BASTOS Maria Helena Câmara,0,0
BASTOS Mário Jorge da Motta,0,0
BATAILLE Georges,1,0
BATALHA Claudio Henrique de Moraes,0,0
BAUDELAIRE Charles,0,0
BAUDRILLARD Jean-Luc,1,0
BAUDRY André,0,0
BAUER Martin W,0,0
BAUMAN Zigmunt,5,0
BAZÁN Osvaldo,0,0
BAZIN André,0,0
BEATTIE Peter M,0,0
BEAUVOIR Simone de,8,0
BATISTA Leticia Emilia,0,0
BECK Ulrich Risk,1,0
BECKER Howard S,0,0
COSTA Rogério da Silva Martins da,2,0
BEEMYN Genny,0,0
BEJEL Emílio,1,0
BÉJIN André,10,0
BELLINI Lígia,4,0
GOMES Fabio da Silva,0,31
BELLOTO Heloísa Liberalli,2,0
BELLOTTI Karina Kosicki,0,0
BENASSAR Bartolomé,0,0
BENATTI Antonio Paulo,0,0
BENCHIMOL Jaime Larry,1,0
BENEDETTI Marcos Renato,6,0
BENETTI Fernando José,0,0
BENEVIDES Bruna G,1,0
BENEVIDES Maria Victória,1,0
BENHABIB Seyla,0,0
BENJAMIN Walter,5,0
BENSA Alban,0,0
BENTO Berenice,17,0
ALVES Edhilson Dantas,0,0
BENTO Maria Aparecida Silva,0,0
BERARDINELLI Waldemar,1,0
BERGER John,1,0
BERGER Peter,1,0
BERGSON Henri,1,0
BERLANT Laurent,1,0
BERMÚDEZ Mónica De Martino,1,0
BERNAND Carmen,0,0
BERNARDES Maria Thereza Caiuby Crescenti,0,0
BERNARDET Jean-Claude,2,0
BERSTEIN Serge,3,0
BERTOLLI FILHO Claudio,1,0
BERUTTI Eliane Borges,2,0
BESSA Karla Adriana M,3,0
BESSA Marcelo Secron,1,0
BESSE Susan K,0,0
BETHENCOURT Francisco,4,0
BETTO Frei,1,0
BEZERRA Carlos Eduardo,0,0
